poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
416,PHL.23.11_1,Catanduanes,Virac,441154.164375,441149.48724999995,4.677125000045635,0,71.89887500981088,0,0,0,71898875009.81088,71898875009.81088,71898875009.81088,18.263837814331055,5.861053943634033,18.263837814331055,5.861053943634033,0,0
417,PHL.24.1_1,Cavite,Alfonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,PHL.24.2_1,Cavite,Amadeo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,PHL.24.3_1,Cavite,Bacoor,90414584.384,90414584.384,0,0,0,0,0,0,0,0,0,1405.0765380859375,639.4642333984375,1405.0765380859375,639.4642333984375,0,0
420,PHL.24.4_1,Cavite,Carmona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,PHL.24.5_1,Cavite,Cavite City,8864067.263999999,8864067.263999999,0,0,0,0,0,0,0,0,0,240.31837463378906,147.15684509277344,240.31837463378906,147.15684509277344,0,0
422,PHL.24.6_1,Cavite,Dasmariñas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,PHL.24.7_1,Cavite,General Emilio Aguinaldo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,PHL.24.8_1,Cavite,General Mariano Alvarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,PHL.24.9_1,Cavite,General Trias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,PHL.24.10_1,Cavite,Imus,2071057.913,2071057.913,0,0,0,0,0,0,0,0,0,44.418392181396484,44.55571365356445,44.418392181396484,44.55571365356445,0,0
427,PHL.24.11_1,Cavite,Indang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,PHL.24.12_1,Cavite,Kawit,21096329.416,21096329.416,0,0,0,0,0,0,0,0,0,233.43850708007812,177.0079345703125,233.43850708007812,177.0079345703125,0,0
429,PHL.24.13_1,Cavite,Magallanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,PHL.24.14_1,Cavite,Maragondon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,PHL.24.15_1,Cavite,Mendez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,PHL.24.16_1,Cavite,Naic,1400979.73125,1400979.73125,0,0,0,0,0,0,0,0,0,68.71943664550781,28.442752838134766,68.71943664550781,28.442752838134766,0,0
433,PHL.24.17_1,Cavite,Noveleta,10278693.100000001,10278693.100000001,0,0,0,0,0,0,0,0,0,177.8873748779297,116.64187622070312,177.8873748779297,116.64187622070312,0,0
434,PHL.24.18_1,Cavite,Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,PHL.24.19_1,Cavite,Silang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,PHL.24.20_1,Cavite,Tagaytay City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,PHL.24.21_1,Cavite,Tanza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,PHL.24.22_1,Cavite,Ternate,432565.886125,432565.886125,0,0,0,0,0,0,0,0,0,4.350661277770996,7.214603424072266,4.350661277770996,7.214603424072266,0,0
439,PHL.24.23_1,Cavite,Trece Martires City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,PHL.25.1_1,Cebu,Alcantara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,PHL.25.2_1,Cebu,Alcoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,PHL.25.3_1,Cebu,Alegria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,PHL.25.4_1,Cebu,Aloguinsan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,PHL.25.5_1,Cebu,Argao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,PHL.25.6_1,Cebu,Asturias,4952787.471,4915988.631999999,36798.83900000062,80.58885955810547,565688.3503736554,120883.2893371582,322355.4382324219,805888.5955810547,4.679624069426849,1.7548590260350683,0.7019436104140273,56.604976654052734,42.655582427978516,47.08678436279297,39.8823127746582,9.518192291259766,2.7732696533203125
446,PHL.25.7_1,Cebu,Badian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,PHL.25.8_1,Cebu,Balamban,23597154.711999997,23597154.711999997,0,0,0,0,0,0,0,0,0,102.9914321899414,137.6494598388672,102.9914321899414,137.6494598388672,0,0
448,PHL.25.9_1,Cebu,Bantayan,2158448.5700000003,2156684.858,1763.7120000002906,0,27112.576345530037,0,0,0,27112576345530.035,27112576345530.035,27112576345530.035,41.562862396240234,19.113752365112305,41.562862396240234,19.113752365112305,0,0
449,PHL.25.10_1,Cebu,Barili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,PHL.25.11_1,Cebu,Bogo City,2955912.0234999997,2506496.024,449415.99949999945,210.3682403564453,6908625.44301134,315552.36053466797,841472.96142578125,2103682.403564453,21.893753009185073,8.210157378444402,3.284062951377761,17.88842010498047,31.499685287475586,14.928648948669434,28.016252517700195,2.959771156311035,3.4834327697753906
451,PHL.25.12_1,Cebu,Boljoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,PHL.25.13_1,Cebu,Borbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,PHL.25.14_1,Cebu,Carcar,0,0,0,72.5452651977539,0,108817.89779663086,290181.0607910156,725452.6519775391,0,0,0,0,0,0,0,0,0
454,PHL.25.15_1,Cebu,Carmen,128922.1715,128922.1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,PHL.25.16_1,Cebu,Catmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,PHL.25.17_1,Cebu,Cebu City,73221684.576,70656899.47199999,2564785.104000017,119.62799072265625,39427033.40571885,179441.98608398438,478511.962890625,1196279.9072265625,219.72022415793916,82.39508405922719,32.95803362369087,622.1136474609375,396.3819274902344,622.1136474609375,396.3819274902344,0,0
457,PHL.25.18_1,Cebu,Compostela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
